category,rating,label,review_text,cleaned_review
Home_and_Kitchen_5,5.0,1,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",love well made sturdy comfortable love itvery pretty
Home_and_Kitchen_5,5.0,1,"love it, a great upgrade from the original.  I've had mine for a couple of years",love great upgrade original ive mine couple years
Home_and_Kitchen_5,5.0,1,This pillow saved my back. I love the look and feel of this pillow.,pillow saved back love look feel pillow
Home_and_Kitchen_5,1.0,1,"Missing information on how to use it, but it is a great product for the price!  I",missing information use great product price
Home_and_Kitchen_5,5.0,1,Very nice set. Good quality. We have had the set for two months now and have not been,nice set good quality set two months
Home_and_Kitchen_5,3.0,1,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,wanted different flavors
Home_and_Kitchen_5,5.0,1,They are the perfect touch for me and the only thing I wish they had a little more space.,perfect touch thing wish little space
Home_and_Kitchen_5,3.0,1,These done fit well and look great.  I love the smoothness of the edges and the extra,done fit well look great love smoothness edges extra
Home_and_Kitchen_5,5.0,1,"Great big numbers & easy to read, the only thing I didn't like is the size of the",great big numbers easy read thing didnt like size
Home_and_Kitchen_5,5.0,1,My son loves this comforter and it is very well made.  We also have a baby,son loves comforter well made also baby
Home_and_Kitchen_5,5.0,1,As advertised. 5th one I've had. The only problem is that it's not really a,advertised th one ive problem really
Home_and_Kitchen_5,5.0,1,Very handy for one of my kids and the tools are included in the package. I have one in,handy one kids tools included package one
Home_and_Kitchen_5,5.0,1,"Did someone say, ""Oriental for $60""?  It is a great product for the",someone say oriental great product
Home_and_Kitchen_5,1.0,1,These are so flimsy! They are not the quality you would expect from a piece of furniture.,flimsy quality would expect piece furniture
Home_and_Kitchen_5,5.0,1,Makes may tea with out stirring. The only problem is that it's kind of hard to put,makes may tea stirring problem kind hard put
Home_and_Kitchen_5,5.0,1,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,absolutely adorable excellent price wooden ones months
Home_and_Kitchen_5,5.0,1,Love this!  Perfect size for an entire family!Very good quality.,love perfect size entire familyvery good quality
Home_and_Kitchen_5,5.0,1,These look beautiful and so nice. The only problem is that it's not really a mesh one.,look beautiful nice problem really mesh one
Home_and_Kitchen_5,5.0,1,Exactly what you would expect. I love the look and feel of this pillow.,exactly would expect love look feel pillow
Home_and_Kitchen_5,5.0,1,"10 Stars, I would highly recommend this item. We love this blanket.",stars would highly recommend item love blanket
Home_and_Kitchen_5,5.0,1,Great little egg masher.  We have had it for a few months now and it's been,great little egg masher months
Home_and_Kitchen_5,5.0,1,"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",advertised easy use love colors also dimensions
Home_and_Kitchen_5,5.0,1,it is exactly as pictured. I love the look and feel of this pillow.,exactly pictured love look feel pillow
Home_and_Kitchen_5,5.0,1,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",fantastic wanted love look feel pillow
Home_and_Kitchen_5,5.0,1,"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",supposed come extra hardware problem really vacuum
Home_and_Kitchen_5,5.0,1,Easy to use. Seems to be an easy way to make a smoothie for a small person.,easy use seems easy way make smoothie small person
Home_and_Kitchen_5,2.0,1,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,accustomed reason gave stars
Home_and_Kitchen_5,5.0,1,"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",nice product seller yes thin plastic piece however handle
Home_and_Kitchen_5,5.0,1,So good we bought the second set and they look just like the first one. I am not sure,good bought second set look like first one sure
Home_and_Kitchen_5,5.0,1,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,wonderful aroma throughout house problem kind hard put
Home_and_Kitchen_5,5.0,1,Received in no time flat.  I love the look.  My husband likes it too.,received time flat love look husband likes
Home_and_Kitchen_5,3.0,1,These are okay they are not as nice as the ones I got from my local store but they are,okay nice ones got local store
Home_and_Kitchen_5,3.0,1,gave them away - thought it would be a good addition to my kitchen!  I am very,gave away thought would good addition kitchen
Home_and_Kitchen_5,4.0,1,"Product is fine, wish it had an option to have a separate handle.",product fine wish option separate handle
Home_and_Kitchen_5,5.0,1,"Awesome is all I have to say, the materials are good, and the quality is decent.",awesome say materials good quality decent
Home_and_Kitchen_5,3.0,1,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,way heavy everyday use reason gave stars one
Home_and_Kitchen_5,5.0,1,"Well made, works great.  We have had the wooden part of the cup for a couple of",well made works great wooden part cup couple
Home_and_Kitchen_5,5.0,1,Bought these to go with my old suction cups. I also love that they are removable and,bought go old suction cups also love removable
Home_and_Kitchen_5,5.0,1,Just as expected! Looks great and has the design to make it a nice place for the baby to,expected looks great design make nice place baby
Home_and_Kitchen_5,1.0,1,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",awful experience everything stuck cooked evenly problem really
Home_and_Kitchen_5,5.0,1,Does a great job of keeping the suction on. I also love that it doesn't slide.,great job keeping suction also love doesnt slide
Home_and_Kitchen_5,2.0,1,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",sheet color nice buy size town
Home_and_Kitchen_5,5.0,1,Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,save instead original shipping box keep moneyvery pretty
Home_and_Kitchen_5,5.0,1,"These towels are real nice, and I love the feel of them.  They have a nice feel",towels real nice love feel nice feel
Home_and_Kitchen_5,5.0,1,"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",works great easy clean easy clean purchasing morevery pretty
Home_and_Kitchen_5,3.0,1,"Alright for the price,but was a little disappointed with the quality of the product.",alright pricebut little disappointed quality product
Home_and_Kitchen_5,4.0,1,"Great quality, beautiful color.  We have had the same one for a few months now and love",great quality beautiful color one months love
Home_and_Kitchen_5,1.0,1,I put paper in one corner of the cabinet and put a piece of paper in the other corner.,put paper one corner cabinet put piece paper corner
Home_and_Kitchen_5,5.0,1,Great stickers but a little small. The only reason I gave it 4 stars is because the one in,great stickers little small reason gave stars one
Home_and_Kitchen_5,5.0,1,Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,great quality fabric looks great thick enough hold small amount coffee
Home_and_Kitchen_5,5.0,1,Perfect. They do exactly what I need them to do. I will keep them for a long time,perfect exactly need keep long time
Home_and_Kitchen_5,5.0,1,Love this movie & the time it took to finish. I will keep my review for the next time,love movie time took finish keep review next time
